EX_Id,GA_Id,DisplayOrder,Type,Name,Path,EA,Data
9489,3454,10,0,"Advert","Adverts\O\Ocean08.jpg ",0,""
9490,3454,11,0,"Advert","Adverts\O\Ocean09.jpg ",0,""
9491,3458,2,0,"Advert","Adverts\F\Firebird01.jpg ",0,""
9492,3458,3,0,"Advert","Adverts\F\Firebird05.jpg ",0,""
9493,3458,4,0,"Advert","Adverts\F\Firebird06a.jpg ",0,""
9494,3458,5,0,"Advert","Adverts\F\Firebird06b.jpg ",0,""
9495,3458,6,0,"Advert","Adverts\F\Firebird08.jpg ",0,""
9496,3462,3,0,"Advert","Adverts\O\Odin_Heartland.jpg ",0,""
9497,3465,3,0,"Advert","Adverts\T\Thalamus_Heatseeker.jpg ",0,""
9498,3465,4,0,"Advert","Adverts\T\Thalamus3.jpg ",0,""
9499,3467,4,0,"Advert","Adverts\U\USGold_Heavy_Metal.jpg ",0,""
9500,3467,5,0,"Advert","Adverts\U\USGold41.jpg ",0,""
9501,3488,5,0,"Advert","Adverts\M\Martech_Hellfire_Attack.jpg ",0,""
9502,3488,6,0,"Advert","Adverts\M\Martech5.jpg ",0,""
9503,3489,2,0,"Advert","Adverts\L\Llamasoft08.jpg ",0,""
9504,3493,2,0,"Advert","Adverts\F\Firebird06a.jpg ",0,""
9505,3493,3,0,"Advert","Adverts\F\Firebird06b.jpg ",0,""
9506,3494,2,0,"Advert","Adverts\A\Audiogenic_Helter_Skelter.jpg ",0,""
9507,3498,4,0,"Advert","Adverts\E\English_Software2.jpg ",0,""
9508,3498,5,0,"Advert","Adverts\E\English_Software3.jpg ",0,""
9509,3498,6,0,"Advert","Adverts\E\English_Software5.jpg ",0,""
9510,3500,4,0,"Advert","Adverts\M\MikroGen_Herberts_Dummy_Run1.jpg ",0,""
9511,3500,5,0,"Advert","Adverts\M\MikroGen_Herberts_Dummy_Run2.jpg ",0,""
9512,3500,6,0,"Advert","Adverts\M\MikroGen3.jpg ",0,""
9513,3505,2,0,"Advert","Adverts\I\Interdisc.jpg ",0,""
9514,3505,3,0,"Advert","Adverts\I\Interdisc_Hercules.jpg ",0,""
9515,3506,6,0,"Advert","Adverts\G\Gremlin03.jpg ",0,""
9516,3506,7,0,"Advert","Adverts\G\Gremlin09.jpg ",0,""
9517,3508,8,0,"Advert","Adverts\A\Activision_HERO.jpg ",0,""
9518,3508,9,0,"Advert","Adverts\A\Activision6.jpg ",0,""
9519,3511,4,0,"Advert","Adverts\G\Gremlin_Hero_Quest1.jpg ",0,""
9520,3512,2,0,"Advert","Adverts\G\Gremlin_Hero_Quest2.jpg ",0,""
9521,3515,6,0,"Advert","Adverts\S\SSI_AD&D1.jpg ",0,""
9522,3515,7,0,"Advert","Adverts\S\SSI_AD&D2.jpg ",0,""
9523,3515,8,0,"Advert","Adverts\S\SSI_AD&D3.jpg ",0,""
9524,3515,9,0,"Advert","Adverts\S\SSI_AD&D4.jpg ",0,""
9525,3515,10,0,"Advert","Adverts\S\SSI_AD&D5.jpg ",0,""
9526,3515,11,0,"Advert","Adverts\U\USGold25.jpg ",0,""
9527,3515,12,0,"Advert","Adverts\U\USGold36a.jpg ",0,""
9528,3515,13,0,"Advert","Adverts\U\USGold36c.jpg ",0,""
9529,3515,14,0,"Advert","Adverts\U\USGold37c.jpg ",0,""
9530,3515,15,0,"Advert","Adverts\U\USGold37d.jpg ",0,""
9531,3524,2,0,"Advert","Adverts\M\Mirrorsoft_Mr_Men.jpg ",0,""
9532,3524,3,0,"Advert","Adverts\M\Mirrorsoft02.jpg ",0,""
9533,3524,4,0,"Advert","Adverts\M\Mirrorsoft07.jpg ",0,""
9534,3529,1,0,"Advert","Adverts\V\Virgin_Games02.jpg ",0,""
9535,3529,2,0,"Advert","Adverts\V\Virgin_Games03.jpg ",0,""
9536,3529,3,0,"Advert","Adverts\V\Virgin_Games04.jpg ",0,""
9537,3529,4,0,"Advert","Adverts\V\Virgin_Games12.jpg ",0,""
9538,3533,3,0,"Advert","Adverts\A\Activision_High_Frontier.jpg ",0,""
9539,3536,2,0,"Advert","Adverts\C\Cascade_Cassette50_1.jpg ",0,""
9540,3536,3,0,"Advert","Adverts\C\Cascade_Cassette50_2.jpg ",0,""
9541,3536,4,0,"Advert","Adverts\C\Cascade_Cassette50_3.jpg ",0,""
9542,3536,5,0,"Advert","Adverts\C\Cascade_Cassette50_4.jpg ",0,""
9543,3536,6,0,"Advert","Adverts\C\Cascade_Cassette50_5.jpg ",0,""
9544,3542,2,0,"Advert","Adverts\O\Ocean_Highlander1.jpg ",0,""
9545,3542,3,0,"Advert","Adverts\O\Ocean_Highlander2.jpg ",0,""
9546,3542,4,0,"Advert","Adverts\O\Ocean57.jpg ",0,""
9547,3543,5,0,"Advert","Adverts\O\Ocean_Highnoon.jpg ",0,""
9548,3543,6,0,"Advert","Adverts\O\Ocean01j.jpg ",0,""
